Defect ID,Detected Date,Module,Endpoint,Method,Test Case,Expected Behavior,Actual Behavior,Severity,Priority,Risk Type,Status,Owner,Sprint,Evidence
DEF-20260310-011,2026-03-10,Users & Roles,/create_user,POST,@security @negative should reject malformed payload on legacy create_user endpoint,API should validate malformed payload and return 4xx,API returns 500 Internal Server Error,High,P1,Input Validation / Stability,Open,QE API Team,Backlog,/Users/raj/Documents/redinent-nextgen.nosync/redinent-api-automation/test-results/security-users.roles-Users-1cc4b-legacy-create-user-endpoint/trace.zip
DEF-20260310-012,2026-03-10,Diagnostics,/diagnostics/non-existent-diagnostic-id-99999,GET,@security @negative should reject invalid diagnostics id lookup,API should return 4xx for invalid diagnostics id,API returns 500 Internal Server Error,High,P1,Input Validation / Stability,Open,QE API Team,Backlog,/Users/raj/Documents/redinent-nextgen.nosync/redinent-api-automation/test-results/security-diagnostics.modul-6165f-valid-diagnostics-id-lookup/trace.zip
DEF-20260310-013,2026-03-10,Diagnostics,/diagnostics,POST,@security @boundary should reject malformed diagnostics payload on create,API should reject malformed diagnostics payload with 4xx,API returns 500 Internal Server Error,High,P1,Input Validation / Stability,Open,QE API Team,Backlog,/Users/raj/Documents/redinent-nextgen.nosync/redinent-api-automation/test-results/security-diagnostics.modul-1d4f4-agnostics-payload-on-create/trace.zip
DEF-20260310-014,2026-03-10,Diagnostics,/diagnostics/cross-tenant-diagnostic-123/stop,GET,@security @abuse should reject unauthorized stop operation for invalid diagnostics id,API should reject unauthorized stop operation with 4xx,API returns 500 Internal Server Error,Critical,P0,Authorization / Operational Control,Open,QE Security,Backlog,/Users/raj/Documents/redinent-nextgen.nosync/redinent-api-automation/test-results/security-diagnostics.modul-b3700--for-invalid-diagnostics-id/trace.zip
DEF-20260310-015,2026-03-10,OEM Signatures,/oemsignatures/create_oem_signature,POST,@security @negative should reject malformed payload on create_oem_signature endpoint,API should validate malformed payload and return 4xx,API returned 200 and accepted malformed payload,High,P1,Input Validation / Data Integrity,Open,QE API Team,Backlog,/Users/raj/Documents/redinent-nextgen.nosync/redinent-api-automation/test-results/security-oem.signatures-OE-b192b-eate-oem-signature-endpoint/trace.zip
DEF-20260310-016,2026-03-10,Uptime Monitoring,/asset_upmon/add_server_details,POST,@security @negative should reject malformed payload on add_server_details,API should validate malformed payload and return 4xx,API returns 500 Internal Server Error,High,P1,Input Validation / Stability,Open,QE API Team,Backlog,/Users/raj/Documents/redinent-nextgen.nosync/redinent-api-automation/test-results/security-uptime.monitoring-f791b-yload-on-add-server-details/trace.zip
DEF-20260310-017,2026-03-10,App Update History,/update_type,GET,@regression should validate update_type endpoint response contract behavior,API should return contract-compliant non-5xx response for update type lookup,API returns 500 Internal Server Error,High,P1,Availability / Stability,Open,QE API Team,Backlog,/Users/raj/Documents/redinent-nextgen.nosync/redinent-api-automation/test-results/security-app-update-histor-151aa--response-contract-behavior/trace.zip
DEF-20260310-018,2026-03-10,Integrators,/integrators,POST,@security @boundary should reject malformed integrator payload on create,API should reject malformed integrator payload with 4xx,API returns 500 Internal Server Error,High,P1,Input Validation / Stability,Open,QE API Team,Backlog,/Users/raj/Documents/redinent-nextgen.nosync/redinent-api-automation/test-results/security-integrators-Integ-ca4e3-ntegrator-payload-on-create/trace.zip
DEF-20260310-019,2026-03-10,Discovery Templates,/discoverytemplates,POST,@security @boundary should reject malformed discovery template payload on create,API should reject malformed discovery template payload with 4xx,API returned 200 and accepted malformed payload,High,P1,Input Validation / Data Integrity,Open,QE API Team,Backlog,/Users/raj/Documents/redinent-nextgen.nosync/redinent-api-automation/test-results/security-discovery-templat-e4407--template-payload-on-create/trace.zip
DEF-20260310-020,2026-03-10,Discovery Templates,/discoverytemplates/non-existent-template-id-99999,GET,@security @negative should reject invalid discovery template id lookup,API should return 4xx for invalid discovery template id,API returns 500 Internal Server Error,High,P1,Input Validation / Stability,Open,QE API Team,Backlog,/Users/raj/Documents/redinent-nextgen.nosync/redinent-api-automation/test-results/security-discovery-templat-4d640-iscovery-template-id-lookup/trace.zip
DEF-20260310-021,2026-03-10,Zip Uploads,/zip_uploads,POST,@security @boundary should reject malformed zip upload payload on create,API should reject malformed zip upload payload with 4xx,API returns 500 Internal Server Error,High,P1,Input Validation / Stability,Open,QE API Team,Backlog,/Users/raj/Documents/redinent-nextgen.nosync/redinent-api-automation/test-results/security-zip-uploads-Zip-U-90ecb-ip-upload-payload-on-create/trace.zip
DEF-20260310-022,2026-03-10,CWE Results,/cwetestresults,GET,@regression should fetch CWE results list for authenticated context,CWE results endpoint should be reachable for authorized users and return a valid response,API returns 404 Not Found for authenticated and unauthenticated access,Medium,P2,API Availability / Route Coverage,Open,QE API Team,Backlog,/Users/raj/Documents/redinent-nextgen.nosync/redinent-api-automation/test-results/security-cwe-results-CWE-R-db93e-t-for-authenticated-context/trace.zip
DEF-20260310-023,2026-03-10,Comparison Dashboard,/comparison_dashboard/fetch_comparison_data,POST,@security @boundary should reject malformed payload on fetch_comparison_data,API should validate malformed comparison payload and return 4xx,API returned 200 and accepted malformed payload,High,P1,Input Validation / Data Integrity,Open,QE API Team,Backlog,/Users/raj/Documents/redinent-nextgen.nosync/redinent-api-automation/test-results/security-comparison-dashbo-f8861-ad-on-fetch-comparison-data/trace.zip
DEF-20260310-024,2026-03-10,Application Utilities,/set_timezone,POST,@security @boundary should reject malformed timezone payload,API should reject malformed timezone/offset payload with 4xx,API returns 204 and accepts malformed payload,Medium,P2,Input Validation,Open,QE API Team,Backlog,/Users/raj/Documents/redinent-nextgen.nosync/redinent-api-automation/test-results/security-application-utili-6ef10--malformed-timezone-payload/trace.zip
DEF-20260310-025,2026-03-10,2FA / OTP (Web),/verify_otp,GET,@security @negative should reject malformed query on verify_otp GET,API should reject malformed OTP query with 4xx,API returned 200 and accepted malformed OTP query payload,High,P1,Input Validation / Security,Open,QE API Team,Backlog,/Users/raj/Documents/redinent-nextgen.nosync/redinent-api-automation/test-results/security-otp.web-2FA-OTP-W-387ec-med-query-on-verify-otp-GET/trace.zip
DEF-20260310-026,2026-03-10,2FA / OTP (Web),/verify_otp,POST,@security @boundary should reject malformed verify_otp POST payload,API should reject malformed OTP verification payload with 4xx,API returned 200 and accepted malformed OTP verification payload,High,P1,Input Validation / Security,Open,QE API Team,Backlog,/Users/raj/Documents/redinent-nextgen.nosync/redinent-api-automation/test-results/security-otp.web-2FA-OTP-W-7c22e-med-verify-otp-POST-payload/trace.zip
DEF-20260310-027,2026-03-10,Other,/reports/detail,GET,@regression should validate /reports route availability contract: reportsDetail,API should return non-5xx contract-compliant response for report detail lookup,API returns 500 Internal Server Error,High,P1,Availability / Stability,Open,QE API Team,Backlog,/Users/raj/Documents/redinent-nextgen.nosync/redinent-api-automation/test-results/security-other.reports.ext-753c2-lity-contract-reportsDetail/trace.zip
DEF-20260310-028,2026-03-10,Other,/reports/export_alerts_file_status,GET,@regression should validate /reports route availability contract: reportsExportAlertsFileStatus,API should return non-5xx contract-compliant response for export alert status lookup,API returns 500 Internal Server Error,High,P1,Availability / Stability,Open,QE API Team,Backlog,/Users/raj/Documents/redinent-nextgen.nosync/redinent-api-automation/test-results/security-other.reports.ext-49db9-portsExportAlertsFileStatus/trace.zip
DEF-20260310-029,2026-03-10,Other,/reports/gen_report,GET,@regression should validate /reports route availability contract: reportsGenReport,API should return non-5xx contract-compliant response for report generation route,API returns 500 Internal Server Error,High,P1,Availability / Stability,Open,QE API Team,Backlog,/Users/raj/Documents/redinent-nextgen.nosync/redinent-api-automation/test-results/security-other.reports.ext-28b3e-y-contract-reportsGenReport/trace.zip
DEF-20260310-030,2026-03-10,Other,/reports/hostprofile,GET,@regression should validate /reports route availability contract: reportsHostprofile,API should return non-5xx contract-compliant response for host profile route,API returns 500 Internal Server Error,High,P1,Availability / Stability,Open,QE API Team,Backlog,/Users/raj/Documents/redinent-nextgen.nosync/redinent-api-automation/test-results/security-other.reports.ext-bbcc5-contract-reportsHostprofile/trace.zip
DEF-20260310-031,2026-03-10,Other,/reports/save_evidence,POST,@security @boundary should reject malformed payload on /reports/save_evidence,API should reject malformed evidence payload with 4xx validation error,API returns 500 Internal Server Error,High,P1,Input Validation / Stability,Open,QE API Team,Backlog,/Users/raj/Documents/redinent-nextgen.nosync/redinent-api-automation/test-results/security-other.reports.ext-53b1c-ad-on-reports-save-evidence/trace.zip
DEF-20260310-032,2026-03-10,Other,/reports,POST,@regression @positive should complete report lifecycle create-get-patch-put-delete,API should create a report with valid seeded payload and return 200/201 with report id,API returns 404 Not Found for valid seeded report creation payload,Critical,P0,Core Workflow / API Availability,Open,QE API Team,Backlog,/Users/raj/Documents/redinent-nextgen.nosync/redinent-api-automation/test-results/regression-other.reports.l-8672e-create-get-patch-put-delete/trace.zip
