Case ID,Module,Method,Endpoint,Aspect,Target Suite,Tag(s),Automation Candidate,Test Level,Scenario,Description,Test Steps,Expected HTTP Status Code,Response Schema/Contract,Expected Latency (ms),Mocking Required?,Data Strategy,Preconditions,Reusable Components,Dependencies,CI Gate,Contract Reference,Risk Level,Risk Type,Priority,Automation Status,Automation Owner,Planned Sprint,Last Run Date,Notes,Latest Run Result
API-0011,Other,PATCH,/api/users/password,Boundary,tests/integration + tests/regression,@boundary @other,Yes,Component + Integration,PATCH /api/users/password: API behavior boundary validation,"Validate PATCH /api/users/password for boundary coverage using Boundary Value Analysis, ensuring business behavior, security controls, and response contracts remain compliant.","1) Prepare boundary dataset for PATCH /api/users/password, including role and tenant context. 2) Execute request with x-correlation-id and required auth/api key/session. 3) Assert HTTP status, response schema/contract, key business rules, and side effects (DB/job/audit if exposed). 4) Capture correlation-id, logs/traces, and attach request/response evidence.",200 or 400 (as per field constraints),Swagger/OpenAPI reference TBD,<= 1000,No,Base URL=http://127.0.0.1:3000; Endpoint=/api/users/password; Data set=Boundary; Body payloads generated via factory + invalid mutators,Environment reachable; secrets and role data configured,"Fixtures, request helper, clients, validators, assertions, metadata hooks",DB + app services,Nightly,Swagger/OpenAPI reference TBD,Medium,Functional / User Experience,P1,Failed,QE API Team,Sprint-2,2026-03-10,See docs/defect-sheet.csv for linked defect(s),FAIL
API-0012,Other,PATCH,/api/users/password,Equivalence,tests/integration + tests/regression,@equivalence @other,Yes,Component + Integration,PATCH /api/users/password: API behavior equivalence validation,"Validate PATCH /api/users/password for equivalence coverage using Equivalence Class Partitioning, ensuring business behavior, security controls, and response contracts remain compliant.","1) Prepare equivalence dataset for PATCH /api/users/password, including role and tenant context. 2) Execute request with x-correlation-id and required auth/api key/session. 3) Assert HTTP status, response schema/contract, key business rules, and side effects (DB/job/audit if exposed). 4) Capture correlation-id, logs/traces, and attach request/response evidence.",200,Swagger/OpenAPI reference TBD,<= 1000,No,Base URL=http://127.0.0.1:3000; Endpoint=/api/users/password; Data set=Equivalence; Body payloads generated via factory + invalid mutators,Environment reachable; secrets and role data configured,"Fixtures, request helper, clients, validators, assertions, metadata hooks",DB + app services,Nightly,Swagger/OpenAPI reference TBD,Medium,Functional / User Experience,P1,Pending,QE API Team,Sprint-2,2026-03-10,Align with requirement ID and risk ID during implementation,NOT RUN
API-0013,Other,PATCH,/api/users/password,Abuse,tests/integration + tests/regression,@abuse @other,Yes,Integration,PATCH /api/users/password: API behavior abuse validation,"Validate PATCH /api/users/password for abuse coverage using Security Abuse Case Testing, ensuring business behavior, security controls, and response contracts remain compliant.","1) Prepare abuse dataset for PATCH /api/users/password, including role and tenant context. 2) Execute request with x-correlation-id and required auth/api key/session. 3) Assert HTTP status, response schema/contract, key business rules, and side effects (DB/job/audit if exposed). 4) Capture correlation-id, logs/traces, and attach request/response evidence.",400/401/403/429,Swagger/OpenAPI reference TBD,<= 1000,No,Base URL=http://127.0.0.1:3000; Endpoint=/api/users/password; Data set=Abuse; Body payloads generated via factory + invalid mutators,Environment reachable; secrets and role data configured,"Fixtures, request helper, clients, validators, assertions, metadata hooks",DB + app services,Nightly,Swagger/OpenAPI reference TBD,High,Data Leakage / Unauthorized Access,P1,Passed,QE API Team,Sprint-2,2026-03-10,Align with requirement ID and risk ID during implementation,PASS
API-0014,Other,PATCH,/api/users/password,Chaos,tests/integration + tests/regression,@chaos @other,Yes,Integration,PATCH /api/users/password: API behavior chaos validation,"Validate PATCH /api/users/password for chaos coverage using Chaos/Resilience Testing, ensuring business behavior, security controls, and response contracts remain compliant.","1) Prepare chaos dataset for PATCH /api/users/password, including role and tenant context. 2) Execute request with x-correlation-id and required auth/api key/session. 3) Assert HTTP status, response schema/contract, key business rules, and side effects (DB/job/audit if exposed). 4) Capture correlation-id, logs/traces, and attach request/response evidence.",200 with graceful degradation or 5xx handled with retry/error contract,Swagger/OpenAPI reference TBD,<= 1500,Yes,Base URL=http://127.0.0.1:3000; Endpoint=/api/users/password; Data set=Chaos; Body payloads generated via factory + invalid mutators,Environment reachable; secrets and role data configured,"Fixtures, request helper, clients, validators, assertions, metadata hooks",DB + app services,Nightly,Swagger/OpenAPI reference TBD,Medium,Availability / Reliability,P1,Pending,QE API Team,Sprint-2,2026-03-10,Align with requirement ID and risk ID during implementation,NOT RUN
API-0015,Other,POST,/api/users/password,Positive,tests/integration + tests/regression,@positive @other,Yes,Component + Integration,POST /api/users/password: API behavior positive validation,"Validate POST /api/users/password for positive coverage using Equivalence Partitioning (valid partition), ensuring business behavior, security controls, and response contracts remain compliant.","1) Prepare positive dataset for POST /api/users/password, including role and tenant context. 2) Execute request with x-correlation-id and required auth/api key/session. 3) Assert HTTP status, response schema/contract, key business rules, and side effects (DB/job/audit if exposed). 4) Capture correlation-id, logs/traces, and attach request/response evidence.",200 or 201,Swagger/OpenAPI reference TBD,<= 1000,No,Base URL=http://127.0.0.1:3000; Endpoint=/api/users/password; Data set=Positive; Body payloads generated via factory + invalid mutators,Environment reachable; secrets and role data configured,"Fixtures, request helper, clients, validators, assertions, metadata hooks",DB + app services,Nightly,Swagger/OpenAPI reference TBD,Medium,Functional / User Experience,P1,Failed,QE API Team,Sprint-2,2026-03-10,See docs/defect-sheet.csv for linked defect(s),FAIL
API-0016,Other,POST,/api/users/password,Negative,tests/integration + tests/regression,@negative @other,Yes,Component + Integration,POST /api/users/password: API behavior negative validation,"Validate POST /api/users/password for negative coverage using Equivalence Partitioning (invalid partition), ensuring business behavior, security controls, and response contracts remain compliant.","1) Prepare negative dataset for POST /api/users/password, including role and tenant context. 2) Execute request with x-correlation-id and required auth/api key/session. 3) Assert HTTP status, response schema/contract, key business rules, and side effects (DB/job/audit if exposed). 4) Capture correlation-id, logs/traces, and attach request/response evidence.",400/401/403/404 (as per contract),Swagger/OpenAPI reference TBD,<= 1000,No,Base URL=http://127.0.0.1:3000; Endpoint=/api/users/password; Data set=Negative; Body payloads generated via factory + invalid mutators,Environment reachable; secrets and role data configured,"Fixtures, request helper, clients, validators, assertions, metadata hooks",DB + app services,Nightly,Swagger/OpenAPI reference TBD,Medium,Functional / User Experience,P1,Passed,QE API Team,Sprint-2,2026-03-10,Align with requirement ID and risk ID during implementation,PASS
API-0017,Other,POST,/api/users/password,Edge,tests/integration + tests/regression,@edge @other,Yes,Component + Integration,POST /api/users/password: API behavior edge validation,"Validate POST /api/users/password for edge coverage using Edge Case Analysis, ensuring business behavior, security controls, and response contracts remain compliant.","1) Prepare edge dataset for POST /api/users/password, including role and tenant context. 2) Execute request with x-correlation-id and required auth/api key/session. 3) Assert HTTP status, response schema/contract, key business rules, and side effects (DB/job/audit if exposed). 4) Capture correlation-id, logs/traces, and attach request/response evidence.",200 or 400 (as per field constraints),Swagger/OpenAPI reference TBD,<= 1000,No,Base URL=http://127.0.0.1:3000; Endpoint=/api/users/password; Data set=Edge; Body payloads generated via factory + invalid mutators,Environment reachable; secrets and role data configured,"Fixtures, request helper, clients, validators, assertions, metadata hooks",DB + app services,Nightly,Swagger/OpenAPI reference TBD,Medium,Functional / User Experience,P1,Pending,QE API Team,Sprint-2,2026-03-10,Align with requirement ID and risk ID during implementation,NOT RUN
API-0018,Other,POST,/api/users/password,Boundary,tests/integration + tests/regression,@boundary @other,Yes,Component + Integration,POST /api/users/password: API behavior boundary validation,"Validate POST /api/users/password for boundary coverage using Boundary Value Analysis, ensuring business behavior, security controls, and response contracts remain compliant.","1) Prepare boundary dataset for POST /api/users/password, including role and tenant context. 2) Execute request with x-correlation-id and required auth/api key/session. 3) Assert HTTP status, response schema/contract, key business rules, and side effects (DB/job/audit if exposed). 4) Capture correlation-id, logs/traces, and attach request/response evidence.",200 or 400 (as per field constraints),Swagger/OpenAPI reference TBD,<= 1000,No,Base URL=http://127.0.0.1:3000; Endpoint=/api/users/password; Data set=Boundary; Body payloads generated via factory + invalid mutators,Environment reachable; secrets and role data configured,"Fixtures, request helper, clients, validators, assertions, metadata hooks",DB + app services,Nightly,Swagger/OpenAPI reference TBD,Medium,Functional / User Experience,P1,Failed,QE API Team,Sprint-2,2026-03-10,See docs/defect-sheet.csv for linked defect(s),FAIL
API-0019,Other,POST,/api/users/password,Equivalence,tests/integration + tests/regression,@equivalence @other,Yes,Component + Integration,POST /api/users/password: API behavior equivalence validation,"Validate POST /api/users/password for equivalence coverage using Equivalence Class Partitioning, ensuring business behavior, security controls, and response contracts remain compliant.","1) Prepare equivalence dataset for POST /api/users/password, including role and tenant context. 2) Execute request with x-correlation-id and required auth/api key/session. 3) Assert HTTP status, response schema/contract, key business rules, and side effects (DB/job/audit if exposed). 4) Capture correlation-id, logs/traces, and attach request/response evidence.",200 or 201,Swagger/OpenAPI reference TBD,<= 1000,No,Base URL=http://127.0.0.1:3000; Endpoint=/api/users/password; Data set=Equivalence; Body payloads generated via factory + invalid mutators,Environment reachable; secrets and role data configured,"Fixtures, request helper, clients, validators, assertions, metadata hooks",DB + app services,Nightly,Swagger/OpenAPI reference TBD,Medium,Functional / User Experience,P1,Pending,QE API Team,Sprint-2,2026-03-10,Align with requirement ID and risk ID during implementation,NOT RUN
API-0020,Other,POST,/api/users/password,Abuse,tests/integration + tests/regression,@abuse @other,Yes,Integration,POST /api/users/password: API behavior abuse validation,"Validate POST /api/users/password for abuse coverage using Security Abuse Case Testing, ensuring business behavior, security controls, and response contracts remain compliant.","1) Prepare abuse dataset for POST /api/users/password, including role and tenant context. 2) Execute request with x-correlation-id and required auth/api key/session. 3) Assert HTTP status, response schema/contract, key business rules, and side effects (DB/job/audit if exposed). 4) Capture correlation-id, logs/traces, and attach request/response evidence.",400/401/403/429,Swagger/OpenAPI reference TBD,<= 1000,No,Base URL=http://127.0.0.1:3000; Endpoint=/api/users/password; Data set=Abuse; Body payloads generated via factory + invalid mutators,Environment reachable; secrets and role data configured,"Fixtures, request helper, clients, validators, assertions, metadata hooks",DB + app services,Nightly,Swagger/OpenAPI reference TBD,High,Data Leakage / Unauthorized Access,P1,Passed,QE API Team,Sprint-2,2026-03-10,Align with requirement ID and risk ID during implementation,PASS
API-0021,Other,POST,/api/users/password,Chaos,tests/integration + tests/regression,@chaos @other,Yes,Integration,POST /api/users/password: API behavior chaos validation,"Validate POST /api/users/password for chaos coverage using Chaos/Resilience Testing, ensuring business behavior, security controls, and response contracts remain compliant.","1) Prepare chaos dataset for POST /api/users/password, including role and tenant context. 2) Execute request with x-correlation-id and required auth/api key/session. 3) Assert HTTP status, response schema/contract, key business rules, and side effects (DB/job/audit if exposed). 4) Capture correlation-id, logs/traces, and attach request/response evidence.",200 with graceful degradation or 5xx handled with retry/error contract,Swagger/OpenAPI reference TBD,<= 1500,Yes,Base URL=http://127.0.0.1:3000; Endpoint=/api/users/password; Data set=Chaos; Body payloads generated via factory + invalid mutators,Environment reachable; secrets and role data configured,"Fixtures, request helper, clients, validators, assertions, metadata hooks",DB + app services,Nightly,Swagger/OpenAPI reference TBD,Medium,Availability / Reliability,P1,Pending,QE API Team,Sprint-2,2026-03-10,Align with requirement ID and risk ID during implementation,NOT RUN
API-0022,Other,PUT,/api/users/password,Positive,tests/integration + tests/regression,@positive @other,Yes,Component + Integration,PUT /api/users/password: API behavior positive validation,"Validate PUT /api/users/password for positive coverage using Equivalence Partitioning (valid partition), ensuring business behavior, security controls, and response contracts remain compliant.","1) Prepare positive dataset for PUT /api/users/password, including role and tenant context. 2) Execute request with x-correlation-id and required auth/api key/session. 3) Assert HTTP status, response schema/contract, key business rules, and side effects (DB/job/audit if exposed). 4) Capture correlation-id, logs/traces, and attach request/response evidence.",200,Swagger/OpenAPI reference TBD,<= 1000,No,Base URL=http://127.0.0.1:3000; Endpoint=/api/users/password; Data set=Positive; Body payloads generated via factory + invalid mutators,Environment reachable; secrets and role data configured,"Fixtures, request helper, clients, validators, assertions, metadata hooks",DB + app services,Nightly,Swagger/OpenAPI reference TBD,Medium,Functional / User Experience,P1,Failed,QE API Team,Sprint-2,2026-03-10,See docs/defect-sheet.csv for linked defect(s),FAIL
API-0023,Other,PUT,/api/users/password,Negative,tests/integration + tests/regression,@negative @other,Yes,Component + Integration,PUT /api/users/password: API behavior negative validation,"Validate PUT /api/users/password for negative coverage using Equivalence Partitioning (invalid partition), ensuring business behavior, security controls, and response contracts remain compliant.","1) Prepare negative dataset for PUT /api/users/password, including role and tenant context. 2) Execute request with x-correlation-id and required auth/api key/session. 3) Assert HTTP status, response schema/contract, key business rules, and side effects (DB/job/audit if exposed). 4) Capture correlation-id, logs/traces, and attach request/response evidence.",400/401/403/404 (as per contract),Swagger/OpenAPI reference TBD,<= 1000,No,Base URL=http://127.0.0.1:3000; Endpoint=/api/users/password; Data set=Negative; Body payloads generated via factory + invalid mutators,Environment reachable; secrets and role data configured,"Fixtures, request helper, clients, validators, assertions, metadata hooks",DB + app services,Nightly,Swagger/OpenAPI reference TBD,Medium,Functional / User Experience,P1,Passed,QE API Team,Sprint-2,2026-03-10,Align with requirement ID and risk ID during implementation,PASS
API-0024,Other,PUT,/api/users/password,Edge,tests/integration + tests/regression,@edge @other,Yes,Component + Integration,PUT /api/users/password: API behavior edge validation,"Validate PUT /api/users/password for edge coverage using Edge Case Analysis, ensuring business behavior, security controls, and response contracts remain compliant.","1) Prepare edge dataset for PUT /api/users/password, including role and tenant context. 2) Execute request with x-correlation-id and required auth/api key/session. 3) Assert HTTP status, response schema/contract, key business rules, and side effects (DB/job/audit if exposed). 4) Capture correlation-id, logs/traces, and attach request/response evidence.",200 or 400 (as per field constraints),Swagger/OpenAPI reference TBD,<= 1000,No,Base URL=http://127.0.0.1:3000; Endpoint=/api/users/password; Data set=Edge; Body payloads generated via factory + invalid mutators,Environment reachable; secrets and role data configured,"Fixtures, request helper, clients, validators, assertions, metadata hooks",DB + app services,Nightly,Swagger/OpenAPI reference TBD,Medium,Functional / User Experience,P1,Pending,QE API Team,Sprint-2,2026-03-10,Align with requirement ID and risk ID during implementation,NOT RUN
API-0025,Other,PUT,/api/users/password,Boundary,tests/integration + tests/regression,@boundary @other,Yes,Component + Integration,PUT /api/users/password: API behavior boundary validation,"Validate PUT /api/users/password for boundary coverage using Boundary Value Analysis, ensuring business behavior, security controls, and response contracts remain compliant.","1) Prepare boundary dataset for PUT /api/users/password, including role and tenant context. 2) Execute request with x-correlation-id and required auth/api key/session. 3) Assert HTTP status, response schema/contract, key business rules, and side effects (DB/job/audit if exposed). 4) Capture correlation-id, logs/traces, and attach request/response evidence.",200 or 400 (as per field constraints),Swagger/OpenAPI reference TBD,<= 1000,No,Base URL=http://127.0.0.1:3000; Endpoint=/api/users/password; Data set=Boundary; Body payloads generated via factory + invalid mutators,Environment reachable; secrets and role data configured,"Fixtures, request helper, clients, validators, assertions, metadata hooks",DB + app services,Nightly,Swagger/OpenAPI reference TBD,Medium,Functional / User Experience,P1,Failed,QE API Team,Sprint-2,2026-03-10,See docs/defect-sheet.csv for linked defect(s),FAIL
API-0026,Other,PUT,/api/users/password,Equivalence,tests/integration + tests/regression,@equivalence @other,Yes,Component + Integration,PUT /api/users/password: API behavior equivalence validation,"Validate PUT /api/users/password for equivalence coverage using Equivalence Class Partitioning, ensuring business behavior, security controls, and response contracts remain compliant.","1) Prepare equivalence dataset for PUT /api/users/password, including role and tenant context. 2) Execute request with x-correlation-id and required auth/api key/session. 3) Assert HTTP status, response schema/contract, key business rules, and side effects (DB/job/audit if exposed). 4) Capture correlation-id, logs/traces, and attach request/response evidence.",200,Swagger/OpenAPI reference TBD,<= 1000,No,Base URL=http://127.0.0.1:3000; Endpoint=/api/users/password; Data set=Equivalence; Body payloads generated via factory + invalid mutators,Environment reachable; secrets and role data configured,"Fixtures, request helper, clients, validators, assertions, metadata hooks",DB + app services,Nightly,Swagger/OpenAPI reference TBD,Medium,Functional / User Experience,P1,Pending,QE API Team,Sprint-2,2026-03-10,Align with requirement ID and risk ID during implementation,NOT RUN
API-0027,Other,PUT,/api/users/password,Abuse,tests/integration + tests/regression,@abuse @other,Yes,Integration,PUT /api/users/password: API behavior abuse validation,"Validate PUT /api/users/password for abuse coverage using Security Abuse Case Testing, ensuring business behavior, security controls, and response contracts remain compliant.","1) Prepare abuse dataset for PUT /api/users/password, including role and tenant context. 2) Execute request with x-correlation-id and required auth/api key/session. 3) Assert HTTP status, response schema/contract, key business rules, and side effects (DB/job/audit if exposed). 4) Capture correlation-id, logs/traces, and attach request/response evidence.",400/401/403/429,Swagger/OpenAPI reference TBD,<= 1000,No,Base URL=http://127.0.0.1:3000; Endpoint=/api/users/password; Data set=Abuse; Body payloads generated via factory + invalid mutators,Environment reachable; secrets and role data configured,"Fixtures, request helper, clients, validators, assertions, metadata hooks",DB + app services,Nightly,Swagger/OpenAPI reference TBD,High,Data Leakage / Unauthorized Access,P1,Passed,QE API Team,Sprint-2,2026-03-10,Align with requirement ID and risk ID during implementation,PASS
API-0028,Other,PUT,/api/users/password,Chaos,tests/integration + tests/regression,@chaos @other,Yes,Integration,PUT /api/users/password: API behavior chaos validation,"Validate PUT /api/users/password for chaos coverage using Chaos/Resilience Testing, ensuring business behavior, security controls, and response contracts remain compliant.","1) Prepare chaos dataset for PUT /api/users/password, including role and tenant context. 2) Execute request with x-correlation-id and required auth/api key/session. 3) Assert HTTP status, response schema/contract, key business rules, and side effects (DB/job/audit if exposed). 4) Capture correlation-id, logs/traces, and attach request/response evidence.",200 with graceful degradation or 5xx handled with retry/error contract,Swagger/OpenAPI reference TBD,<= 1500,Yes,Base URL=http://127.0.0.1:3000; Endpoint=/api/users/password; Data set=Chaos; Body payloads generated via factory + invalid mutators,Environment reachable; secrets and role data configured,"Fixtures, request helper, clients, validators, assertions, metadata hooks",DB + app services,Nightly,Swagger/OpenAPI reference TBD,Medium,Availability / Reliability,P1,Pending,QE API Team,Sprint-2,2026-03-10,Align with requirement ID and risk ID during implementation,NOT RUN
